Wavelength,mV_136,mV_118,mV_96,mV_93,mV_80,mV_70,mV_64,mV_60,mV_60,mV_50,mV_50,mV_43,mV_40,mV_31,mV_25,mV_25,mV_18,mV_0,mV_-2,mV_-5,mV_-9,mV_-11,mV_-15,mV_-22,mV_-22,mV_-26,mV_-33,mV_-33,mV_-34,mV_-41,mV_-48,mV_-49,mV_-49,mV_-56,mV_-57,mV_-58,mV_-65,mV_-71,mV_-75,mV_-76,mV_-83,mV_-90,mV_-92,mV_-101,mV_-110,mV_-119,mV_-126,mV_-133,mV_-140,mV_-145,mV_-146,mV_-147,mV_-150,mV_-156,mV_-157,mV_-161,mV_-167,mV_-168,mV_-174,mV_-176,mV_-195,mV_-197,mV_-200,mV_-207,mV_-215,mV_-217,mV_-222,mV_-228,mV_-230,mV_-236,mV_-238,mV_-240,mV_-248,mV_-248,mV_-250,mV_-256,mV_-258,mV_-259,mV_-261,mV_-269,mV_-271,mV_-274,mV_-282,mV_-282,mV_-288,mV_-290,mV_-297,mV_-297,mV_-304
641.0551147,0.032471117,0.032185197,0.035174366,0.034109049,0.033495057,0.038739305,0.033883672,0.03356231,0.038459327,0.03708303,0.03673549,0.031992551,0.035673678,0.031045346,0.037181634,0.037330978,0.036450014,0.036656901,0.030204721,0.037447218,0.03478381,0.03134473,0.037992686,0.034103394,0.036896404,0.031190591,0.032721218,0.03576735,0.035782136,0.034247566,0.03271354,0.034510966,0.03752036,0.033538569,0.03884273,0.037443917,0.03230238,0.033793677,0.031987954,0.035574798,0.032782793,0.031929277,0.031758245,0.033240348,0.033613324,0.033065196,0.032130562,0.032968611,0.031805675,0.031911027,0.031338193,0.027138194,0.03202825,0.033338867,0.031216485,0.031462718,0.03222654,0.03276303,0.030568765,0.030245379,0.026054095,0.030179275,0.033243813,0.03006441,0.032244608,0.029870043,0.027869765,0.029496333,0.030133104,0.026828172,0.032146588,0.031948835,0.02638348,0.031069063,0.032590248,0.033200696,0.033064332,0.027043801,0.031538118,0.036227614,0.034544095,0.02834994,0.034826245,0.034700412,0.029292054,0.028765559,0.031532079,0.038558614,0.031527404
640.0327759,0.032866523,0.03259407,0.035309374,0.034298573,0.034072425,0.038983356,0.034015816,0.033842422,0.038437523,0.037262887,0.036198463,0.032373242,0.035670221,0.031002333,0.036351662,0.037578955,0.035716254,0.037299581,0.030201724,0.037717961,0.034881894,0.031389475,0.038056202,0.033826977,0.03712146,0.031727526,0.032911673,0.035535548,0.036504097,0.033800058,0.032527581,0.034742698,0.037536673,0.032249849,0.039613698,0.037151009,0.032764342,0.034466267,0.031956524,0.035463609,0.033264466,0.032448493,0.031334132,0.03320729,0.033839934,0.032588128,0.032304697,0.032374024,0.031615593,0.031901751,0.030955352,0.027636345,0.032539047,0.033373415,0.031293958,0.031551871,0.03216454,0.033279669,0.031657886,0.030219818,0.026166283,0.030664206,0.033389155,0.030181967,0.032680243,0.030047849,0.027649036,0.030069293,0.030689403,0.026783291,0.032095719,0.032377817,0.027028924,0.03136969,0.033509124,0.03337501,0.033814132,0.028115874,0.03223535,0.035459675,0.034557268,0.02776859,0.035730783,0.034366034,0.029270649,0.028909352,0.031018766,0.038670171,0.031641401
639.0100708,0.03345035,0.032959901,0.035978127,0.034911711,0.034466881,0.039427228,0.034509875,0.034689002,0.040009134,0.037810747,0.036931235,0.03218383,0.036057383,0.03172271,0.03707584,0.038084459,0.035483103,0.036789242,0.030955574,0.037781689,0.034675065,0.032105558,0.038210593,0.034281123,0.036380991,0.0326376,0.032934792,0.035581455,0.036689039,0.0338898,0.032914352,0.03555055,0.037658248,0.033691335,0.040113203,0.037680805,0.032986652,0.034438469,0.032357179,0.036004424,0.033360027,0.033191755,0.032210119,0.033479933,0.033758536,0.033401284,0.032802865,0.032989364,0.032217927,0.032522839,0.032037586,0.02831004,0.032172654,0.03380182,0.032195792,0.032452066,0.033149064,0.033041287,0.03157144,0.030457268,0.026686661,0.030998442,0.034353569,0.03002158,0.033216458,0.029824097,0.028306449,0.030586874,0.031084578,0.027426818,0.032568872,0.032619435,0.027631436,0.031624697,0.034374189,0.033812258,0.033581775,0.027869847,0.032344516,0.036166247,0.035442766,0.02860998,0.035470799,0.034998097,0.029706305,0.029187365,0.03197965,0.038672801,0.032279905
637.9871216,0.034103028,0.033779882,0.036515925,0.035526477,0.034620006,0.040611919,0.035090193,0.035277955,0.042209722,0.038514368,0.037636876,0.032931611,0.036086015,0.031919748,0.036926333,0.037222132,0.035940588,0.037517708,0.031514402,0.038784165,0.035628658,0.03216181,0.038435824,0.034868401,0.037796233,0.031711709,0.033867218,0.036259916,0.036297146,0.035077762,0.033018298,0.035606012,0.038766615,0.03349394,0.040863652,0.037935447,0.033411238,0.034396406,0.033017989,0.036304463,0.034472037,0.034158953,0.032205381,0.034464415,0.034340065,0.033753864,0.033330116,0.033468049,0.032983974,0.032451283,0.033346497,0.029152315,0.033526685,0.034112494,0.032344852,0.032601267,0.033295348,0.033365477,0.032022536,0.031397153,0.027352707,0.031658024,0.035173945,0.030755749,0.0329425,0.030514332,0.028462637,0.030639037,0.032081787,0.027830848,0.03320187,0.032198384,0.027736912,0.032004785,0.036088802,0.034196228,0.034020942,0.028724765,0.033122577,0.036895219,0.035741296,0.02934459,0.036373731,0.035869677,0.029270649,0.029910944,0.032678653,0.039009012,0.032301515
636.9638672,0.034376908,0.034181241,0.036911253,0.035738006,0.034843635,0.041022517,0.034884054,0.035967276,0.043856002,0.039638683,0.037680633,0.033154622,0.037090756,0.032444701,0.036898207,0.037983164,0.036111135,0.036929742,0.031200241,0.039223809,0.03596466,0.03192139,0.038176112,0.034623172,0.037507493,0.032576267,0.033958741,0.035931535,0.036712784,0.036076508,0.033282407,0.035976555,0.037882712,0.033880539,0.041003913,0.038490184,0.033673711,0.034716789,0.03258168,0.037016332,0.033732124,0.033880118,0.032279793,0.03467159,0.034444969,0.033631139,0.033360474,0.033419847,0.032498732,0.032843765,0.033135511,0.028905286,0.03331276,0.033877097,0.033020366,0.032473907,0.033357732,0.033608764,0.032395218,0.031244218,0.027388824,0.031083466,0.034603689,0.030994272,0.033157162,0.031116363,0.028987465,0.031228557,0.031518191,0.028628228,0.03305031,0.032740813,0.028667049,0.031881526,0.036122754,0.034307428,0.035443526,0.028371796,0.033121962,0.038011443,0.035275821,0.029369516,0.035997082,0.037124872,0.02996397,0.029668858,0.032884058,0.038592249,0.031475857
635.9402466,0.035028625,0.034755036,0.03724255,0.036339026,0.035484873,0.041438803,0.035374381,0.036743969,0.044240762,0.040510345,0.037833117,0.033929572,0.037336111,0.032594349,0.037973192,0.038353533,0.036797386,0.03631575,0.032094214,0.039593734,0.036379725,0.033634134,0.037957937,0.03491763,0.038445782,0.033140793,0.034122154,0.03604931,0.037059039,0.035976749,0.033590641,0.036599472,0.039439954,0.034697667,0.041598395,0.039269794,0.033954065,0.035101362,0.033451777,0.036634594,0.034303363,0.03485404,0.033066511,0.034379512,0.034576189,0.033848159,0.034028668,0.034125514,0.033326875,0.03363914,0.034157384,0.029696217,0.033789199,0.034724586,0.033556074,0.033514492,0.033101622,0.03454785,0.033247225,0.031651426,0.028247463,0.031882335,0.035428163,0.031386636,0.033362851,0.031625587,0.029326949,0.031560916,0.032513715,0.028576221,0.034107789,0.034923159,0.029401813,0.033047877,0.036331229,0.034590654,0.03602653,0.029018763,0.033842731,0.040353429,0.035831384,0.029631693,0.036812883,0.038138039,0.030491894,0.03025301,0.032972187,0.040403198,0.032380186
635.0626831,0.035348013,0.035025872,0.037285198,0.036510661,0.035599887,0.04069205,0.03535068,0.036607895,0.04288068,0.040450107,0.037649974,0.033591453,0.038301058,0.03279664,0.03835851,0.038236488,0.036641747,0.03640686,0.032488886,0.039617557,0.037199825,0.033426978,0.038059648,0.035356943,0.038683981,0.033122689,0.034375925,0.036218945,0.037737921,0.036412489,0.033546481,0.036053784,0.039100125,0.034502894,0.041692186,0.039265685,0.03414565,0.035372641,0.033652872,0.037358172,0.034637246,0.03441605,0.033101428,0.03484251,0.034591157,0.033768188,0.033873569,0.033842113,0.033358265,0.033257872,0.034441184,0.02993069,0.033920702,0.034151278,0.032811463,0.033608429,0.032940544,0.034416076,0.033390298,0.031988762,0.028285092,0.031886708,0.034891009,0.03140898,0.034108434,0.031531911,0.029176677,0.031694416,0.032148514,0.028918898,0.033745721,0.034129828,0.029200764,0.03297836,0.036119856,0.034958676,0.036686361,0.029094987,0.033977915,0.040329795,0.036669716,0.029948995,0.036723629,0.038147055,0.030418258,0.030157104,0.033524755,0.040547971,0.032337349
634.0385742,0.035624333,0.035558023,0.037776437,0.036973149,0.035560329,0.040510289,0.03550268,0.036565594,0.041647367,0.040728781,0.037972853,0.033446744,0.038276799,0.0331739,0.037820999,0.038902748,0.036782648,0.036748588,0.032295465,0.039369661,0.03697126,0.033344232,0.037794057,0.035634868,0.038806073,0.033030614,0.034260955,0.036272127,0.037295267,0.035640545,0.033837527,0.036875945,0.038775023,0.0346299,0.040528901,0.038790844,0.0342879,0.035431419,0.033638049,0.037119824,0.034879621,0.034971524,0.03319902,0.034740735,0.035231546,0.03452627,0.03440145,0.034199588,0.03382555,0.033178791,0.034024216,0.030269524,0.033909224,0.034162451,0.033507951,0.033303063,0.033415489,0.034446873,0.034341354,0.031544298,0.028466672,0.032538991,0.034848008,0.031556908,0.034118794,0.031612504,0.029825928,0.032205354,0.032738607,0.028571716,0.033573303,0.033252168,0.028886361,0.03266551,0.03532375,0.034815222,0.037216999,0.029172607,0.033606835,0.039323181,0.036893077,0.03021721,0.037042461,0.038415603,0.030318318,0.03047551,0.033855826,0.041187078,0.032311138
633.0140991,0.035899818,0.036114849,0.037584826,0.037439514,0.035868272,0.041244261,0.035843868,0.036648225,0.04077163,0.041084174,0.037389152,0.034157328,0.039251346,0.033457227,0.038388032,0.039362859,0.037381873,0.037193168,0.032311611,0.039670818,0.0371961,0.033569049,0.037563119,0.035715353,0.038204234,0.033650972,0.034304988,0.036473382,0.037650313,0.035804905,0.034139741,0.036378037,0.038651355,0.034956656,0.039387178,0.038621333,0.034803469,0.03476261,0.03394575,0.037576441,0.035025395,0.034928937,0.033905502,0.034914013,0.035378817,0.035154101,0.034124788,0.034669459,0.033799611,0.034129575,0.033699952,0.030773256,0.033965766,0.0347245,0.034299273,0.033553809,0.033725746,0.034448948,0.034774385,0.032240007,0.028975649,0.03281448,0.034918446,0.031797875,0.034574702,0.032005481,0.030158326,0.032264989,0.032635033,0.02949661,0.034608316,0.033312116,0.029622963,0.033624541,0.03593814,0.035221133,0.037746307,0.029860836,0.034342278,0.038077082,0.037233245,0.030307576,0.03732796,0.037657429,0.030921744,0.03108366,0.034187712,0.041716121,0.032603782
631.9893799,0.03662147,0.036531888,0.03811574,0.038181875,0.036183886,0.041163653,0.03628828,0.036605895,0.041400589,0.040878724,0.037500918,0.034787625,0.039153662,0.033897553,0.038360093,0.040460762,0.037920702,0.037689161,0.033239484,0.040405046,0.037343025,0.034191493,0.038479663,0.035847437,0.0387761,0.03388188,0.0351239,0.037287511,0.038350847,0.036230452,0.034809947,0.036557682,0.039092675,0.035309035,0.038723599,0.038340244,0.034765329,0.035235308,0.03391432,0.038365014,0.035183012,0.034886353,0.03437461,0.035054635,0.035528556,0.035482261,0.035079867,0.034718893,0.03444979,0.03431841,0.034733444,0.03097534,0.034304038,0.035252716,0.034223758,0.034170795,0.034044933,0.034975033,0.035211027,0.033131238,0.029665533,0.033258989,0.035657968,0.032264739,0.034736164,0.032248985,0.03067179,0.032583103,0.033478029,0.029547894,0.035120755,0.034343988,0.029659685,0.033805206,0.035996072,0.035881232,0.037889969,0.030403459,0.034708153,0.037292305,0.037953697,0.030808518,0.03772239,0.037651639,0.03157673,0.031498175,0.035087079,0.042334121,0.033329867
